#,Name,Creator,Difficulty,30 Room Cards,10 Entity Cards,10 Item Cards,2 Outcome Cards,Special Notes,Winrate,Comments
11,Battle for the Backrooms ,NowayArtemus,Red Light,"Hallway x9
Corner x2
Dead End x1
Lecture Hall x5
Bright Hall x3
Poisoned Hall x3
Dark Hall x3
Destroyed Hall x4","Scarlett Knight x1
Strangler x1
Bakteria x1
Crimson Knight x1
Conductor x2
Aiden x1
Arch raven x1
Grawlix x1
Blusher x1","Death Shrooms x1
Mirror Piece x1
Dumb Gum x1
Shock Shrooms x2
Boom Shrooms x1
Flash Sphere x1
Liquid Pain x1
Death Moth Jelly x2","Golden Stairs x1
The Void x1","Deep in the Backrooms, the twisted Conductor and his army of Entities led by the Scarlett Knight are in mortal combat with the Crimson Knight and other resilient Wanderers. But will their aid be enough to topple the machinations of the Conductor and his ilk? 
",,
12,Fungal Warfare,NowayArtemus,Red Light,"Dark Hall x3
Destroyed Hall x2
Lecture Hall x3
Corner x8
Dead End x8
Hallway x6
","Aiden x1
Bacteria x4
Ancient Faceling x1
Scarlett Knight x1
Smiler x2
Blusher x1","Liquid Pain x1
Hopper Device x1
Death Shrooms x2
Boom Shrooms x1
Jar O'Bright x1
Mirror Piece x1
Master Goggles x1
Flash Sphere x1
Shock Shrooms x1","Golden Stairs x1
The Void x1","Those Bakteria are mighty mean, I tells ya",,
13,Ancient Cosmic Horrors,NowayArtemus,Red Light,"Destroyed Hall x2
Lecture Hall x1
Dark Hall x2
Bright Hall x2
Corner x7
Poisoned Hall x2
Punctured Wall x1
Hallway x6
Dead End x7","Faceling x4
Hound x2
Strangler x1
Ancient Strangler x1
Ancient Hound x1
Ancient Faceling x1","Liquid Pain x1
Snooze Shrooms x1
Almond Water x1
Death Shrooms x2
Mirror Piece x1
Shock Shrooms x1
Master Goggles x1
Gas Mask x1
Shrink Drink x1","Space Portal x1
Golden Stairs x1",,,
14,Land of the Ancients,NowayArtemus,Red Light,"Dead End x7
Corner x7
Hallway x6
Destroyed Hall x2
Poisoned Hall x2
Bright Hall x2
Dark Hall x2
Lecture Hall x1
Punctured Wall x1","Faceling x1
Ancient Faceling x1
Strangler x1
Ancient Strangler x1
Hound x2
Ancient Hound x2
Scarlett Knight x1
Blusher x1","Boom Shrooms x2
Shock Shrooms x1
Death Shrooms x1
Shrink Drink x1
Gas Mask x1
Master Goggles x1
Jar O'Bright x1
Jar O'Dark x1
Mirror Piece x1","The Void x1
Golden Stairs x1 
","So many ancients, so little time",,
15,Doll Face's House of Fun ,NowayArtemus,Yellow Light,"Hallway x8
Dead End x9
Corner x7
Lecture Hall x2
Destroyed Hall x2
Poisoned Hall x1
False Feast x1 (Promo)","Smiler x2
Strangler x1
Doll Face x2
Clocksmith x1
Faceling x2
Grawlix x1
Death Moth x1","Boom Shrooms x2
Liquid Pain x2
Electric Tennis Ball x2
Almond Water x1
Death Moth Jelly x1
Doll Face Jack O' Lantern x1 (Promo)
Electro-Fest Balloon x1 (Promo)","The Void x1
Golden Stairs x1 ",This deck I played about 60 games with. It's fun and not too difficult but does require some promos if you want to play it in its original form.,,Promo Challenge
16,Lady Lindys Escape,The Red Tide,Green Light," 4 Hallway, 
 9 Corner
 8 Dead End
 4 Destroyed Hall
 1 Lecture Hall
 3 Punctured Wall
 1 False Wall
","1 Lost Agent,
2 Death Moth
1 Arch Raven, 
1 Partygoer, 
1 Grawlix
3 Hound
1 Lady Lindy
","1 Snooze Shrooms, 
4 Death Moth Jelly
1 Cloak Coat, 
3 Shrink Drink
1 Scarabacks","The Void
Golden Stairs",Passive Deck. Dont Engage!,,
17,Backrooms Plunder,Hass Thrift,Red Light,"Hallway x4
Lecture Hall x2
Destroyed Hall x2
Bright Hall x2
Dead End x9
Corner x10
False Wall x1","Blusher x1
Laughter x1
Hound x1
Strangler x1
Monitor x1
Bakteria x1
Aiden x1
Arch Raven x1
Crimson Knight x1
Ancient Strangler x1","Death Moth Jelly x1
Boom Shrooms x2
Death Shrooms x1
Liquid Pain x1
Liquid Silence x1
Mirror Piece x1
Dumb Gum x1
Jar O'Dark x1
Skip Rock x1","The Void
Golden Stairs",,,
18,Ode to the Backrooms,Hass Thrift,Green Light,"False Wall x1
Punctured Wall x1
Poisoned Hall x2
Destroyed Hall x2
Lecture Hall x2
Dark Hall x3
Hallway x3
Corner x8
Dead End x8","BSCOS Device x1
Gold Tape x1
Death Shrooms x2
Mirror Piece x2
Boom Shrooms x1
Gas Mask x1
Shrink Drink x1
Jar O'Bright x1","Bakteria (Holo) x1
The Conductor (Holo) x1
Crimson Knight x1
Laughter x1
The Clocksmith x1
Blusher x2
Lost Agent x1
Paper Snakes x1
Faceling x1","The Void (Holo)
Golden Stairs (Holo)",Use non-holos if needed,,
19,Through the eye of the needle (and back),fr33b33,Shattered,"2 Bright Hall
2 Dark Hall
2 Punctured Wall
2 Destroyed Wall
3 Dead End
8 Corner
7 Hallway
1 False Wall
1 Painite Wall
1 Poisoned Hall
1 Lecture Hall","1 Alia
3 Partygoers
3 Paper Snakes
1 Partypooper
1 Blusher
1 Mr Freeman (50/100)","3 Shrink Drink
1 Jar o'Dark
2 Dumb Gum
1 Scarabacks
3 Snooze Shrooms","1 Greener Patures
1 Golden Stairs","Rules (Normal Mode):
You start with Painite Wall and Golden Stairs out of play.
Once you successfully pass through Punctured Wall using Shrink Drink you shuffle Painite Wall into your PP and noclip (by passing the Punctured Wall you successfully evaded all        entities as they cannot follow)
When you find Painite Wall and travel away, remove it from the game.
Travel back through a Punctured Wall (Shrink Drink) holding a Painite Gem: Shuffle Golden Stairs into your PP and noclip.
Now find the Stairs and Escape....

Easy Mode:
Start with Painite Wall out of play
Once you pass through Punctured Wall using Shrink Drink: noclip.
place Painite Wall on top of Punctured Wall, acquire the Gem and continue your search for the Stairs.

Hard Mode:
Based on Normal Mode, exchange Alia or Freeman for FA Partygoer (81/100)

Nightmare:
Replace as many Papersnakes as you like with Gamemasters and you'll definitely face your fears sooner or later (but maybe Blusher will be your friend in this scenario as it is the only card messing with your DIH... will your nightmare save you???)",,
20,Custom Build,Rat Queen,Yellow Light,"Corner 7
Dark Hall1
Dead End 7
Hallway7
Bright Hall 1
Destroyed Hall2
Lecture Hall 2
Poisoned Hall1
Punctured Wall 1
False Wall1","Death Moth 1
Lost agent1
Aiden 1
Arch Raven1
Doll Face 1
Frowner1
Bakteria 1
Hound1
Ancient Stranger 1
(H) Cosmonaut tomac1","Almond Water 1
Death Moth Jelly1
Electric Tennis Ball 1
Liquid Pain1
Cloak Coat 1
Master Goggles1
Memory Fluid 1
Shrink Drink1
Death Shrooms 1
Mirror Piece1","(H) Golden Stairs 1
(H) The void1",,,
21,Quest for the Painite Wall,The Red Tide,,"   -3 Hallway, 6 Corner, 8 Dark Hall, 7 Dead End
    -1 Destroyed Hall, 4 Bright Hall
    -1 Painite Wall","  -4 Lost Agent, 1 Death Moth
    -2 Blusher, 2 Partygoer, 1 Aiden","    -3 Snooze Shrooms
    -1 Master Goggles, 1 Jar O' Bright, 1 Jar O' Dark, 1 Flash Sphere
    -1 Scarabacks
    -1 Gold Tape, 1 Dumb Gum","-1 Golden Stairs
    -1 Void",Passive deck!,,
22,Frowners Gift,The Red Tide,,"5 Hallway, 10 Corner, 10 Dead End
5 Destroyed Hall","3 Smilers, 1 Death Moth
4 Frowners
1 Tsuchigumo, 1 Partypooper","4 Snooze Shrooms
4 Memory Fluid
2 Skip Rock","Space Portal or Void
Golden Stairs",Passive deck!,,
23,Sunday Train Ride,RestedKnight,,"Poisoned Hall x3
Hallway x16
Corner x11","Scarlett Knight (White Light) x1
Ancient Conductor x1
Cosmonaut Tomac x1
Arch Raven x1
Aiden x1
Smiler x5","Skip Rock x1
Conductor's Ticket x1
Death Shrooms x1
Boom Shrooms x1
Shock Shrooms x1
Memory Fluid (Blue Deck)  x2
Death Moth Jelly x1
Snooze Shrooms x1","Golden Stairs
The Void","Rules: (Use as many as you'd like)
Escape with <= 4 DIH
Don't Engage any Unfriendly Entities
Shuffle in and defeat X entities
Beat in 10 min or less (or 20)
Escape with 3 different mushrooms
Escape with a companion
Gift Arch Raven Death Moth Jelly
Defeat the Ancient Conductor
Skip Rock into Golden Stairs
Escape with 5 or less sanity
Add the Golden Stairs onto the bottom of your DIH after the first deck out (before keep out of play)",,
24,Looking Down From Up Ahead,RestedKnight,,"Las Doce Uvas... [P] x2
Poisoned Hall [R] x3
Lecture Hall [G] x5
Hallway [Y] x15
Corner [Y] x5","The Conductor [Comic-V] x1
Happy Holidays [W] x1
Moth's Nest [R] x2
Cosmonaut Tomac [R] x1
The Clocksmith [R] x1
Arch Raven [G] x1
Grawlix [G] x2
Imitatus Dux [Y] x1","ElectroFest Balloon [P] x2
Death Shrooms [R] x3
Gas Mask [G] x1
Memory Fluid [KS-G] x1
Memory Fluid [Exclusive-G] x2
Death Moth Jelly [Y] x1","Golden Stairs [Y/P] x1
Greener Pastures [W] x1",,,
25,"The Parties’ Always Greener on the Other Side
Deck One (The Waiting Room)",Groyer,,"Hallway (x10)
Corner (x9)
Dead End (x7)
Lecture Hall (x2)
Destroyed Hall (x2)","Lost Agent (No. 76, Pure Rarity, x1)
Lost Agent (No. 92, Purple Rarity, x1)
Lost Agent (No. 30, Yellow Rarity, x6)
Death Moth (No. 47, Yellow Rarity, x2)
[High rarity/more powerful Agents are optional, but it’s nice to assume some are more feral or lost than others.]","“Strange Drink Canister” (Almond Water x3)
“Weird Tennis Ball” (Electric Tennis Ball x4)
“Sparking Mushrooms” (Boom Shrooms x2)
“A Familiar Stone” (Skip Rock x1)","The Void
Greener Pastures","You’ve just no-clipped into the Backrooms, a place commonly discarded as a myth. As you wander through corridor after dull yellow corridor, you see shambling bodies wearing hazmat suits. They all mumble about it being “…too late…” and that they want to go back to the “party”. When they notice you, their glazed eyes fill you with unease, and they start chasing you around the Backrooms as you try to find a way out. As you stumble over mysterious drink canisters and odd-looking tennis balls, you follow some moths and find a door that leads into an inviting, vivid field of flowers and grass. The warmth of the sun and the cool breeze of the wind fill you with a calm that you desperately need after what you’ve just experienced. You drift off to sleep…

Only to awaken back in the same halls you were just running from. You faintly hear the sound of laughter, accompanied by… inflating balloons? As you stand back up, you see discarded paper party hats and empty drink cups littered on the floor. Streamers line the walls with banners that are scratched out or marred in blood. Knocked over fold-up tables look like make-shift barricades with crumped up hazmat suits decorating the corners. The Backrooms aren’t done with you yet. It wants you to stick around for the festivities, possibly forever – but you are done with its tricks and rejected the RSVP. You will make it back home… or this might be the last party you’ll ever attend.

Premise & Setup
This two-deck game uses Greener Pastures as an “in-between” card, much like the Car Park and Aquazone Portal cards. This is to use the card in a different way before the new sets come out, or for those who want to prolong a visit to the Lobby Level.

Your objective is to escape from the Lost Agents that litter the first section of the Lobby and survive the mental onslaught of the Partygoers in the second to secure your escape. The first deck will prioritize escaping and evading Lost Agents using “party favors” to distract them or “fun party toys” to knock them out. The second deck will pit you against the Partygoers and a couple of their all-smiles friends who really, really want you to stick around for life. Thankfully there are a couple of friends who can help you out in sneaking past if you’re unprepared or pushing through the crowd to force your way through.",,
26,"The Parties’ Always Greener on the Other Side
Deck Two (The Party)",Groyer,,"Hallway (x8)
Corner (x7)
Dead End (x5)
Dark Hall (x6)
Lecture Hall (x3)
Poisoned Hall (x3)
False Wall (x1)","Partygoer (No. *, Pure Rarity, x1)
Partygoer (No. 34, Green Rarity, x4)
Smiler (No. 26, Yellow Rarity, x2)
Arch Raven (No. 47, Yellow Rarity, x1)
Crimson Knight (No. 55, Purple Rarity, x1)
[Sub in another Smiler or the Purple rarity Partygoer (No.81) if you don't have the Partygoer holo from the starter deck]","“Cool Party Glasses” (Master Goggles, x1)
“Tasty Orange Drink” (Liquid Pain, x3)
“Cake Frosting” (Death Moth Jelly x2)
“Pucker-Up Treats” (Shock Shrooms, x2)
“Double-Umm Bubble Gum” (Dumb Gum, x2)",,"Rules / Tweaks
We’re going in as a Wanderer that is high strung and paranoid after stumbling into unknown, hostile territory. Plus, with Greener Pastures being used differently, we’ll  have to figure out how to use it.

When you begin the second deck (The Party), place Greener Pastures at the 6’o clock position and you start there. Deal as normal afterward. You do not lose any Sanity for using Greener Pastures, but instead keep your previous Sanity score. Greener Pastures then becomes a Permanent Fixture, but can have cards placed over it like a normal Room. Going back in will end the game in defeat as if it were The Void.This is to hopefully curb getting brain-sacked by Partygoers by not starting at half or less the max Sanity score. Going back to the dream of Greener Pastures will have you stay there, letting your body rot away in the Backrooms.

You cannot drink Almond Water. Using Almond Water to subdue a Lost Agent will grant you the Sanity score of using it normally.You wouldn’t just trust some random can on the floor of a strange place! But you notice that the poor souls here would reach for the cans first and ignore you…

You cannot eat Death Moth Jelly. Besides the normal Arch Raven interaction, gifting this to the Crimson Knight will motivate them to kill a Partygoer on the FOP. You lose the chance for a Panite Gem if you do this. Using the jelly this way grants you the Sanity score.If you wouldn’t drink from a random can, you wouldn’t eat from an unlabeled jar of goo either! But that big red fellow isn’t picky.
 (edited)
[10:51 PM]
Optional For Fun Conditions/”Achievements”

A Mean Serve: Defeat 4 Lost Agents with Electric Tennis Balls.
Game, Set, Match: Defeat a Purple rarity Lost Agent with Electric Tennis Balls.
The Wimbledon Champ: Defeat a Pure rarity Lost Agent with Electric Tennis Balls.
Bribing the Bouncer: Have the Crimson Knight kill a Partygoer with a Death Moth Jelly gift.
A Mosh Pit for Two: Defeat all Partygoers with the Crimson Knight as your Companion.
There Was a Party?: Escape The Party without encountering a single Partygoer on the FoP.
I Brought The Snacks!: Escape The Party with one Death Moth Jelly, Shock Shroom and Dumb Gum in your inventory.
BYOB: Escape The Party with two or more Liquid Pains in your inventory.
Fight Response: Escape The Waiting Room after defeating, not subduing, all Lost Agents.
Flight Response: Escape The Waiting Room without defeating or subduing a single Lost Agent.
…And Party Every Day: Escape The Party after three Deck Outs. ",,
27,Web Exclusive Blue Deck,TheRedTide?,Yellow,"Hallway x10
Corner x5
Dark Hall x2
Dead End x5
Destroyed Hall x2
Punctured Wall x2
Bright Hall x2
False Wall x2

","Smiler x2
Frowner x2
Grawlix x1
Bakteria x1
Death Moth x2
Arch Raven x1
Mr. Freeman x1

","Almond Water x2
Death Shrooms x1
Electric Tennis Ball x2
Shrink Drink x1
Master Goggles x1
Memory Fluid x1
Flash Sphere x1
Scarabacks x1

","The Void x1
Golden Stairs x1",,,
28,Doggie Day Care,Logan the Backrooms Nerd,Green,"Hallway x6
Corner x7
Dead End x7
Lecture Hall x2
Destroyed Hall x4
Poisoned Hall x2
Dark Hall x2","Death Moth x2
Blusher x1
Aiden x1
Hound x3
Ancient Hound x1
Ancient Hound (FA) x1
Crimson Knight x1","Death Shrooms x1
Flash Sphere x2
Death Moth Jelly x3
Gas Mask x1
Mirror Piece x1
Boom Shrooms x2","Golden Stairs x1
Greener Pastures x1",,,
29,Sneaking Suit Serenade,NowayArtemus,Green,"Hallway x9
Corner x7
Dead End x7
Lecture Hall x2
Dark Hall x2
Destroyed Hall x3","Smiler x2
Blusher x2
Laughter x1
Frowner x1
Tsuchigumo x1
Arch Raven x1
The Clocksmith x1
Lady Lindy x1","Cloak Coat x1
Death Moth Jelly x2
BSCOS Device x1
Hopper Device x1
Dumb Gum x1
Scarabacks x1
Snooze Shrooms x1
Flash Sphere x1","The Void x1
Golden Stairs x1","Challenges:
1. Use 3 Concealment Items on Entities before you exit.
2. Find and Use the BSCOS Device
3. Escape with lady Lindy as your Companion.",,
30,Pro's Drink to Forget,NowayArtemus,Green,"Hallway x6
Corner x6
Dead End x5
Lecture Hall x2
Destroyed Hall x2
False Wall x1
Dark Hall x4","Frowner x2
Doll Face x1
Partygoer x1
Blusher x1
Clocksmith x1
Tsuchigumo x1
Cosmonaut Tomac x1
Monitor x1
Death Moth x1","Death Shrooms x2
Flash Sphere x2
Master Goggles x1
Memory Fluid x1
Liquid Pain x4","The Void x1
Golden Stairs x1","Challenges:
1. Tilted Run on Hard: Exit with 3 Liquid Pain in your Inventory and 5 or less Sanity.
2. Freeing the Frowner: Use memory Fluid on Frowner.",,
31,War and Peace in the Backrooms,NowayArtemus,Red,"Hallway x7
Corner x7
Dead End x8
Lecture Hall x2
Destroyed Hall x2
False Wall x1 
Poisoned Hall x3","Arch Raven x2
Faceling x2
Ancient Hound x2
Hound x2
Death Moth x1
Conductor x1","Death Moth Jelly x3
Shock Shrooms x2
Mirror Piece x2
Liquid Pain x1
Cloak Coat x1
Gas Mask x1","Greener Pastures x1
Golden Stairs x1","Challenges: 
1. Feeding the Hounds: Conceal 2 Hounds with Death Moth Jelly before escaping.
2. Poison Expert: Defeat 2 Entities using the Poisoned Hall as the only form of damage. 
3. Mirror Piece: Deal 8 Damage using Mirror Piece.
4. Hoarder Mode: Lose 1 Sanity each time you use an item in addition to any other sanity damage from the item. ",,
32,Clocksmith's Betrayal,NowayArtemus,Green,"Hallway x6
Corner x3
Dead End x7
Lecture Hall x4
Poisoned Hall x3
Dark Hall x7","Death Moth x2
Faceling x2
Smiler x2
Crimson Knight x1
Ancient Faceling x1
Clocksmith x1
Aiden x1","Liquid Pain x4
Boom Shooms x2
Mirror Piece x1
Dumb Gum x1
Shock Shrooms x1
Master Goggles x1","Greener Pastures x1
Golden Stairs x1","Challenges: 
1. Titled Run: Escape with 2 Liquid Pain and 10 or Less Sanity. 
2. Stabbing the Clock: Defeat the Clocksmith.",,
33,Fearless Wanderer in the Hungry Beastly Void,NowayArtemus,Red,"Hallway x4
Corner x5
Dead End x7
Bright Hall x4
Destroyed Hall x1
Lecture Hall x2
Poisoned Hall x1
Dark Hall x4
Punctured Wall x1
False Wall x1","Smiler x2
Blusher x1
Laughter x1
Faceling x1
Crimson Knight x1
Arch Raven x1
Clocksmith x1
Aiden x1
Monitor x1","Liquid Pain x2
Mirror Piece x2
Master Goggles x1
Death Moth Jelly x1
Shrink Drink x1
Shock Shrooms x1
Flash Sphere x1
Dumb Gum x1","The Void x1
Golden Stairs x1","Challenges: 
1. Hole in the Wall: Use Shrink Drink on a Punctured Wall. 
2. Beastly Powers: Entities that have lootable gems have double health.
3. Fearless Fighter: Defeat an entity in every hallway type (Destroyed, Poisoned, Dark, Bright)",,
34,Final Battle for the Backrooms,NowayArtemus,Purple,"Hallway x5
Corner x6
Dead End x6
Bright Hall x2
Destroyed Hall x1
Lecture Hall x2
Poisoned Hall x5
Dark Hall x2
False Wall x1","Monitor x3
Hound x1
Ancient Hound x1
Faceling x1
Death Moth x1
Clocksmith x1
Aiden x1
Crimson Knight x1

[Set Aside]
Conductor x1
Ancient Conductor x1","Shock Shrooms x2
Flash Sphere x2
Mirror Piece x3
Gas Mask x1
Skip Rock x1
Death Shrooms x1","The Void x1
Golden Stairs x1
[Set Aside] Car Park Portal x1","Setup: Set the Conductor, Ancient Conductor, and Car Park Portal outside of the deck before the game begins.

Challenges: 
1. Wave of Hypnosis: Defeat 3 Monitors, then shuffle the Conductor into the Pull Pile. 
2. Wandering Warrior: Defeat a Green light or higher entity in each Hallway Type (Destroyed, Poisoned, Dark, Bright).
3. Horrors Upon Ancient Horrors: Once the Conductor is defeated, shuffle the Ancient Conductor into the Pull Pile. Once you defeat the Ancient Conductor, shuffle the Car Park Portal into the Pull Pile. 
4. Car Park Bypass: Use the Skip Rock to enter the Car Park Portal.",,
35,Partygoers and Greener Pastures,NowayArtemus,Red,"Hallway x8
Corner x8
Dead End x8
Destroyed Hall x3
Lecture Hall x2
False Wall x1","Partygoer x3
Blusher x1
Strangler x1
Faceling x2
Aiden x1
Crimson Knight x1","Shock Shrooms x3
Death Moth Jelly x2
Liquid Pain x1
Cloak Coat x1
Mirror Piece x1
Dumb Gum x1
Gold Tape x1","
Greener Pastures x1
Golden Stairs x1",,,
36,Summoning the Scarlett,NowayArtemus,Red,"Hallway x6
Corner x7
Dead End x9
Lecture Hall x2
Poisoned Hall x1
False Wall x1
Punctured Wall x2","Smiler x2
Blusher x1
Scarlett Knight x1
Strangler x1
Ancient Strangler x1
Monitor x1
Crimson Knight x1
Aiden x1
Arch Raven x1","Mirror Piece x3
Shock Shrooms x2
Death Shrooms x1
Death Moth Jelly x1
Flash Sphere x1
Shrink Drink x2","The Void x1
Golden Stairs x1","Setup: Set Scarlett Knight out of play at the start of the game

Challenges: 
1. Dead End Beatdown: Defeat 3 Entities while in a Dead End. Once you do, shuffle the Scarlett Knight into the Pull Pile after you deck out and place the new No-Clip cards out.
2. Searching for Stranglers: Defeat Strangler and Ancient Strangler before escaping. 
3. Maximum Painite Madness: You must loot 3 Painite Gems. Upon defeat, entities that provide a gem are placed face down into your inventory as items. ",,
37,Backrooms Afterschool Special,NowayArtemus,Green,"Hallway x9
Corner x6
Dead End x5
Dark Hall x6
Lecture Hall x2
Destroyed Hall x1
False Wall x1","Death Moth x2
Faceling x3
Lost Agent x2
Aiden x1
Clocksmith x1
Smiler x1","Jar O'Bright x2
Shock Shrooms x2
Boom Shrooms x2
Death Shrooms x1
Snooze Shrooms x1
Memory Fluid x1
BSCOS Device x1","The Void x1
Golden Stairs x1","Challenges: 
1. Faceling Hunt: Defeat 2 Facelings before escaping.
2. Mario Run: Have 3 unique shrooms in your Inventory when you escape. [Hard Mode: 4 Unique Shrooms]
3. Search for the Cube: Find and Activate the BSCOS Device before escaping.",,
38,Luigi In Wonderland,NowayArtemus,Green,"Hallway x8
Corner x8
Dead End x5
Dark hall x3
False Wall x1
Poisoned Hall x2
Lecture Hall x2
Destroyed Hall x1","Faceling x2
Smiler x1
Blusher x1
Aiden x1
Clocksmith x1
Conductor x1
Crimson Knight x1
Lady Lindy x1","Death Shrooms x1
Mirror Piece x1
Hopper Device x1
Shrink Drink x1
Snooze Shrooms x2
Boom Shrooms x2
Shock Shrooms x2","The Void x1
Golden Stairs x1",,,
