id,Challenge Name,Difficulty [1-4],Description,Creator,Notes
12,Lost in the Sauce,Lv2,Discard 2 Almond Waters to discard a Red Light or higher Entity from the FOP. ,NowayArtemus,
13,Aqua Bazooka,Lv2,Have 3 Hazards when you use the Aqua Shrooms.,NowayArtemus,
14,Buried Alive,Lv2,Use Shroom Nectar on 2 different Entities.,NowayArtemus,
15,Lockers of Destiny,Lv2,Find at least 2 Items in the Apodyterium.,NowayArtemus,
16,Life Line,Lv2,Lose 5 Sanity to discard 2 Hazards with the Pool Ladder. Do this twice before escaping.,NowayArtemus,
17,Saving the Life Saver,Lv2,Enter the Golden Slide while Josan has 4 cards under him.,NowayArtemus,
18,Toxic Tag Along,Lv2,"Gain Pixelle as a Companion, then discard it by picking up another Companion.",NowayArtemus,
,,,,,
,,Level Three (18),,,
1,Skits for Days,Lv3,"Use Aqua Skits to conceal an Entity, discard a Hazard, and gain 3 cards from the Pull Pile. ",NowayArtemus,
2,Banishment by Shark,Lv3,Spend a Painite Gem when engaging the Inflatable Shark  to discard a Red Light or higher entity from the FOP. ,NowayArtemus,
3,No Mercy,Lv3,"Have Mercy automatically engage you when you have less than 12 Health, and defeat it.",NowayArtemus,
4,Arachnid Revival,Lv3,Defeat a Tsuchigumo after it reveals an entity or item upon defeat and discards the last used Attack item.,NowayArtemus,
5,Alligator to Ashes,Lv3,Defeat Barruk the Alligator using only Cashew Water and/or Day Bright Spray.,NowayArtemus,
6,Impeding the Centipede,Lv3,Defeat the Centipede with 10 or less Sanity remaining.,NowayArtemus,
7,King of the Aqua Zone,Lv3,Defeat the Water Sentinel.,NowayArtemus,
8,Dark Souls,Lv3,Defeat at least 4 Entities while you have the Soulroot Signet equipped.,NowayArtemus,
9,"Be Kind, Rewind",Lv3,Return 4 Items to your Inventory by any means.,NowayArtemus,
10,Eye of the Storm,Lv3,Lose 15 Sanity to discard all entities from the FOP using the Tempest Sphere. At least 3 Entities must be Unfriendly.,NowayArtemus,
11,Eerie Enemies,Lv3,Defeat a Red Light or higher entity in the Sacrificial Fountain room.,NowayArtemus,
12,Friendly Fire,Lv3,"Gain the Aquatic Faceling as a Companion, then use it as the final damage to defeat an entity.",NowayArtemus,
13,The Opposite of Drowning,Lv3,Lose at least 3 Hazards in a single Movement and Action Round. ,NowayArtemus,
14,Foam Frenzy,Lv3,Deal at least 8 Damage using 2 or more Foam Swords.,NowayArtemus,
15,Ready for Anything,Lv3,Exit with 4 items in your inventory and no Hazards.,NowayArtemus,
16,Unrelenting Gaze,Lv3,Defeat Shadow Sighton in the same round after it blocks a concealment item from being used.  ,NowayArtemus,
17,Rat Friend,Lv3,"Gain 2 Items from the Pack Rat, then gain the Pack Rat as a Companion.",NowayArtemus,
18,Filled to the Brim,Lv3,Have a full Inventory with two items on the Pack Rat as your Companion.,NowayArtemus,
,,,,,
,,Level Four (2),,,
1,,Lv4,,,
2,,Lv4,,,
